Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Hdop,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675714449.5480802,619,72851,72851,GPS1_Frame,42.33979583333333,-71.08919116666667,0.94,20.4,327898.09758001566,4689618.3033550065,19,T
1675714450.5499952,620,72852,72852,GPS1_Frame,42.33979616666667,-71.08919033333333,1.38,20.0,327898.16714005906,4689618.33868241,19,T
1675714451.552968,621,72853,72853,GPS1_Frame,42.33979483333333,-71.08919116666667,1.53,19.6,327898.0948517127,4689618.192312582,19,T
1675714452.553062,622,72854,72854,GPS1_Frame,42.33979433333334,-71.08919250000001,1.38,19.3,327897.9836465794,4689618.1394901555,19,T
1675714453.5475383,623,72855,72855,GPS1_Frame,42.33979383333334,-71.08919433333334,1.38,19.1,327897.83125107945,4689618.0876797745,19,T
1675714454.5494375,624,72856,72856,GPS1_Frame,42.3397965,-71.08919633333333,1.15,19.6,327897.673765102,4689618.387841088,19,T
1675714455.5462725,625,72857,72857,GPS1_Frame,42.33979899999999,-71.08919333333333,1.15,19.5,327897.92772806226,4689618.659374875,19,T
1675714456.5496328,626,72858,72858,GPS1_Frame,42.33979899999999,-71.08919633333333,0.94,20.0,327897.6805858766,4689618.6654471485,19,T
1675714457.5527666,627,72859,72859,GPS1_Frame,42.33980183333333,-71.08919633333333,0.94,20.7,327897.68831608817,4689618.980067352,19,T
1675714458.5526977,628,72860,72860,GPS1_Frame,42.33980216666667,-71.08920116666667,1.2,20.8,327897.2910520217,4689619.026864621,19,T
1675714459.5517623,629,72861,72861,GPS1_Frame,42.339804666666666,-71.08920199999999,1.15,20.6,327897.2292222108,4689619.306157427,19,T
1675714460.5496917,630,72862,72862,GPS1_Frame,42.339807333333326,-71.08920283333333,1.15,20.7,327897.1678471256,4689619.6039573075,19,T
1675714461.550004,631,72863,72863,GPS1_Frame,42.33981083333333,-71.08920316666666,0.94,21.0,327897.14993600466,4689619.993280494,19,T
1675714462.5542634,632,72864,72864,GPS1_Frame,42.33981433333334,-71.08920433333333,1.32,21.4,327897.06337429583,4689620.384290431,19,T
1675714463.55287,633,72865,72865,GPS1_Frame,42.33981300000001,-71.08920716666667,1.2,21.4,327896.82632451947,4689620.24196882,19,T
1675714464.5581641,634,72866,72866,GPS1_Frame,42.33981266666667,-71.08921316666667,0.94,21.9,327896.33113081113,4689620.217099315,19,T
1675714465.5512185,635,72867,72867,GPS1_Frame,42.33981433333334,-71.08921616666666,1.23,22.3,327896.0885359063,4689620.408242355,19,T
1675714466.5463717,636,72868,72868,GPS1_Frame,42.33981666666667,-71.08921633333333,1.15,22.4,327896.0811719079,4689620.667678698,19,T
